Tanggal Order;Channel;Kategori Channel;Cust;Daerah;Provinsi;Pesanan;Kategori;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total
Saturday, 25 March 2023;Shopee;End User;pambajeng08;JAKARTA TIMUR;DKI JAKARTA;Dks Abdi Dalem;Dupa Stik;1;21750;21750;0;21750;21750
Saturday, 25 March 2023;Shopee;End User;pambajeng08;JAKARTA TIMUR;DKI JAKARTA;Dks Melati;Dupa Stik;1;17400;17400;0;17400;17400
Saturday, 25 March 2023;Shopee;End User;pambajeng08;JAKARTA TIMUR;DKI JAKARTA;Dks Baccarat;Dupa Stik;1;21750;21750;0;21750;21750
Sunday, 26 March 2023;Shopee;End User;vod00;KOTA MEDAN;SUMATERA UTARA;Dks Gaharu;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;vegaputraramadani;MALANG;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Cendana;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Sakura;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Blue Flower;Dupa Stik;1;21750;21750;0;21750;21750
Wednesday, 29 March 2023;Shopee;End User;dan1689;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;1;21750;21750;0;21750;21750
Thursday, 30 March 2023;Shopee;End User;chenlauwira;JAKARTA BARAT;DKI JAKARTA;Dks Cendana;Dupa Stik;2;21750;21750;0;43500;43500
Thursday, 30 March 2023;Shopee;End User;chenlauwira;JAKARTA BARAT;DKI JAKARTA;Dks Melati;Dupa Stik;2;17400;17400;0;34800;34800
Thursday, 30 March 2023;Shopee;End User;mutiarashella05;KEDIRI;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;17583;17583;0;17583;17583
Thursday, 30 March 2023;Shopee;End User;mutiarashella05;KEDIRI;JAWA TIMUR;Dks Cendana;Dupa Stik;1;17583;17583;0;17583;17583
Thursday, 30 March 2023;Shopee;End User;mutiarashella05;KEDIRI;JAWA TIMUR;Dks Melati;Dupa Stik;1;14068;14068;0;14068;14068
Thursday, 30 March 2023;Shopee;End User;mutiarashella05;KEDIRI;JAWA TIMUR;Dks Baccarat;Dupa Stik;1;17583;17583;0;17583;17583
