Tanggal Order;Channel;Kategori Channel;Cust;Kab/Kota;Provinsi;Pesanan;Kategori;Produk;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total;Anomaly_Flags;Is_Anomaly;Expected_Total_Penjualan;Expected_Total_Diskon;Duplicate_Group_Size;Sheet
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Gaharu;Dkk Gaharu;Dupa Kerucut;7;14000;14000;0;98000;98000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Melati;Dkk Melati;Dupa Kerucut;4;14000;14000;0;56000;56000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Cendana;Dkk Cendana;Dupa Kerucut;1;14000;14000;0;14000;14000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Abdi Dalem;Dkk Abdi Dalem;Dupa Kerucut;1;14000;14000;0;14000;14000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Baccarat;Dkk Baccarat;Dupa Kerucut;5;14000;14000;0;70000;70000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Sakura;Dkk Sakura;Dupa Kerucut;3;14000;14000;0;42000;42000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Lemontea;Dkk Lemontea;Dupa Kerucut;4;14000;14000;0;56000;56000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
24/01/2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
24/01/2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;1;22750;22750;0;22750;22750;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
24/01/2023;Shopee;End User;gansprint.id;MALANG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/01/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;10000;10000;0;10000;10000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/01/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKS Lemontea;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/01/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/01/2023;Shopee;End User;nizartr;JEMBER;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;10000;10000;0;10000;10000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
27/01/2023;Shopee;End User;gunawan2541998;LUMAJANG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
28/01/2023;Shopee;End User;aulifiasalsha;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
28/01/2023;Shopee;End User;aulifiasalsha;SURABAYA;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/02/2023;Shopee;End User;sitydeja;BEKASI;JAWA BARAT;DKS Gaharu;Dks Gaharu;Dupa Stik;1;10000;10000;0;10000;10000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/02/2023;Shopee;End User;sitydeja;BEKASI;JAWA BARAT;DKS Cendana;Dks Cendana;Dupa Stik;4;18200;18200;0;72800;72800;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
07/02/2023;Shopee;End User;niichanxx;MALANG;JAWA TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;1;10000;10000;0;10000;10000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
